"","x"
"1",5528284.71693421
"2",5323341.78728295
"3",7387962.87426845
"4",5743024.49663501
"5",5655769.80487814
"6",5321050.45811125
"7",7457415.48677789
"8",4430741.32104023
"9",5097450.78168663
"10",4099458.38125887
"11",7027245.82627239
"12",5409310.24851295
"13",5916141.42724848
"14",5923725.63761201
"15",5352454.02096916
"16",7727905.0939042
"17",7495735.10802627
"18",6029075.58375615
"19",7399619.55910541
"20",4917785.91158732
"21",4190308.14242079
"22",7584432.14255048
"23",6173860.64541286
"24",5223886.16644454
"25",4851865.15471626
"26",4528299.64316235
"27",4759997.85629255
"28",5440411.62551717
"29",5715731.92638269
"30",6014267.16865703
"31",7155902.53477266
"32",4268345.87561446
"33",5609994.10442147
"34",5926429.92856475
"35",7017444.96597689
"36",5855648.84361806
"37",4541962.7233448
"38",7375098.88415655
"39",5740686.32575917
"40",5159502.83555884
"41",4645413.51292513
"42",3985427.10298398
"43",7265451.89740381
"44",4773317.1399948
"45",4102935.99629574
"46",6852814.52130512
"47",5223150.53361053
"48",5782928.05050088
"49",5951962.43171041
"50",7390512.6769634
"51",6125222.39935584
"52",5930686.00458357
"53",5359440.21083273
"54",5787961.48831396
"55",5106005.23285854
"56",5763580.96263177
"57",5691422.39309645
"58",6128521.43655304
"59",7530724.33544468
"60",4730089.12248788
"61",6953717.31914552
"62",4435427.90873598
"63",5635058.63329375
"64",5411463.32089684
"65",5885212.88353508
"66",5330702.74802883
"67",4349332.3359157
"68",7304234.5662382
"69",5613037.42525153
"70",4490665.70862799
"71",5674739.03456027
"72",4995191.20176526
"73",6817886.75789323
"74",6878272.09984831
"75",7176396.65398921
"76",7948531.19782524
"77",5213928.22405302
"78",5624945.50932038
"79",5777481.67125119
"80",7282772.47373389
"81",4026519.47346552
"82",7519638.1339393
"83",5963908.25721037
"84",4341919.8321914
"85",7290039.09983794
"86",3881650.06872049
"87",7544788.26650431
"88",5344649.25797147
"89",4298661.78075133
"90",4460279.84206062
"91",5599169.31404593
"92",6033929.24371408
"93",6180791.04568819
"94",7398537.73872571
"95",8108103.61216495
"96",5493412.96753853
"97",5951545.30998505
"98",7517966.49110892
"99",5017292.94473982
"100",5289689.55718975
"101",6934559.41634876
"102",7346687.65990885
"103",6683731.86104136
"104",7276321.06307627
"105",5558861.96267564
"106",7085929.97128912
"107",7730015.76815772
"108",6182723.10232901
"109",4305861.29636596
"110",5554072.93065983
"111",4384324.48249744
"112",5677837.66475856
"113",7395909.15085868
"114",5279292.48346315
"115",5999799.04075116
"116",7257426.37485008
"117",6802721.27800608
"118",4400238.32121115
"119",4306365.95878275
"120",5593809.02160265
"121",7127026.42545742
"122",4415830.60130601
"123",4980975.71004131
"124",7801145.73768877
"125",3988407.68637298
"126",7677076.56443318
"127",5615085.0125083
"128",5569019.74518055
"129",7107321.23570785
"130",6809780.81345925
"131",5541815.61823825
"132",7294530.82000772
"133",5131785.87882622
"134",5914650.35556442
"135",5787397.50818388
"136",4107608.9453672
"137",5671250.87861178
"138",5449139.66678655
"139",7368794.47453745
"140",7048045.55107041
"141",5784134.56577316
"142",6922348.17367707
"143",4865223.7194843
"144",4164714.68821882
"145",5560478.50924183
"146",4411494.5387123
"147",5480331.54151738
"148",5048988.24638809
"149",4494901.76221677
"150",5072703.42921705
"151",4425639.98234024
"152",5822926.73224459
"153",7616491.45578378
"154",4633650.9759546
"155",4621039.32514872
"156",6927107.68885912
"157",7665115.13355037
"158",4259194.8283859
"159",3708517.2287288
"160",7645561.45467898
"161",5963531.86331635
"162",5249769.41102957
"163",7322974.28598658
"164",5750536.87546658
"165",5476333.63925227
"166",4014332.44589838
"167",6904143.36998112
"168",4651338.06492361
"169",4331096.06145751
"170",7115233.6911592
"171",5037145.67305653
"172",7857498.60892533
"173",5137735.60016567
"174",4856089.189193
"175",4411016.49952151
"176",4449164.19385204
"177",5679562.1240019
"178",5576873.24710805
"179",4687685.87536488
"180",7314756.50818839
"181",7126391.85780969
"182",5499373.06970503
"183",7808917.4699451
"184",7716924.51818193
"185",7531979.44568083
"186",5529944.20486203
"187",4902278.68733341
"188",4771316.16190955
"189",4717697.69090058
"190",4673591.67072001
"191",7271403.14223786
"192",7821036.85570597
"193",7665891.65101181
"194",5791917.22920713
"195",5015182.79047934
"196",8232832.43285007
"197",7770067.9861865
"198",7176436.77516202
"199",5440447.61329371
"200",6979336.01229802
"201",7092304.2229982
"202",7121057.60136245
"203",5733831.82745613
"204",3646589.22331759
"205",4720643.42357258
"206",5756814.08555868
"207",4765915.44429811
"208",7804385.15740314
"209",4618461.3563046
"210",4609232.29296454
"211",4566838.99300139
"212",7351618.33808269
"213",5709867.83817767
"214",7728344.95220938
"215",7003541.65739227
"216",4679999.62615006
"217",5528734.13630399
"218",7372102.72613709
"219",7568502.94942981
"220",7726828.59376645
"221",7309898.73095282
"222",6017810.15797953
"223",4771939.14443377
"224",4613263.74596405
"225",7235890.63078301
"226",7518073.62379651
"227",5250642.85914855
"228",7713458.88471673
"229",7243609.32640288
"230",5376979.0262997
"231",7471853.19142184
"232",5284529.34451193
"233",5450189.92973851
"234",5498287.8324912
"235",7349880.90088558
"236",7050486.51812518
"237",4316606.35726946
"238",6695444.6158075
"239",4910997.54779122
"240",5968032.70509608
"241",5666342.51883783
"242",5579135.81578114
"243",7212742.89693706
"244",4752038.02913091
"245",5235827.9745788
"246",5802075.47158762
"247",7103861.95957703
"248",7096559.69235847
"249",5956790.45535379
"250",5739049.25330483
"251",5275353.19426347
"252",7471166.78102616
"253",4659597.30464272
"254",4430515.70492735
"255",5708257.68582522
"256",7166242.14863346
"257",7533039.00686225
"258",5257155.88448996
"259",5815204.46299452
"260",5364547.42375345
"261",4361930.00051945
"262",7054459.00007342
"263",6899666.57089079
"264",7808912.23926231
"265",4384897.85325463
"266",4640164.56857637
"267",5419119.12608906
"268",5098634.02608378
"269",4668851.38052767
"270",4047692.81886133
"271",5188558.21603781
"272",7420488.70591231
"273",3932464.65979771
"274",5755946.11994372
"275",5636721.01193555
"276",4822668.52287395
"277",4827518.29902418
"278",4412754.63004267
"279",5822931.18293782
"280",5211884.22083441
"281",5524672.16586282
"282",5501767.89779519
"283",6002635.51670941
"284",5513255.48920454
