,,,,,,,,,Neigbourhood,Count
Neigbourhood,room_type,borough,bedrooms,accommodates,overall_satisfaction,,,,Cranford,2
Hyde Park,Private room,Westminster,1,2,0,,,,Chelsea Riverside,31
,,,,,,,,,Harringay,36
Cheapest,,,,,,,,,Clapham Town,40
13,Private room,Haringey,1,2,4.5,,,,Haggerston,131
,,,,,,,,,Ealing Broadway,13
Costliest,,,,,,,,,Welsh Harp,7
8989,Entire home/apt,Hammersmith and Fulham,2,6,0,,,,Ferndale,28
,,,,,,,,,Askew,34
Bedrooms,room_type,borough,price,accommodates,Neighborhood,overall_satisfaction,,,St. James's,137
10,Private room,Lewisham,151,7,Brockley,3.5,,,Tollington,33
,,,,,,,,,Gospel Oak,25
,,,,,,,,,Hyde Park,76
,,,,,,,,,Stanley,39
,,,,,,,,,Hoxton East & Shoreditch,204
,,,,,,,,,West End,191
,,,,,,,,,Bloomsbury,69
,,,,,,,,,Town,37
,,,,,,,,,Kew,21
,,,,,,,,,Knightsbridge and Belgravia,37
,,,,,,,,,Lancaster Gate,161
,,,,,,,,,Bishop's,58
,,,,,,,,,St. Peter's,190
,,,,,,,,,Raynes Park,11
,,,,,,,,,Brunswick Park,27
,,,,,,,,,Latchmere,32
,,,,,,,,,Limehouse,22
,,,,,,,,,Grange,94
,,,,,,,,,Childs Hill,25
,,,,,,,,,St. Mary's,80
,,,,,,,,,Westbourne,52
,,,,,,,,,Earlsfield,17
,,,,,,,,,Weavers,155
,,,,,,,,,Canary Wharf,58
,,,,,,,,,Kenley,2
,,,,,,,,,Herne Hill,64
,,,,,,,,,Village,35
,,,,,,,,,Cantelowes,57
,,,,,,,,,Coppetts,15
,,,,,,,,,Wimbledon Park,6
,,,,,,,,,Highgate,53
,,,,,,,,,Brixton Hill,51
,,,,,,,,,Golders Green,8
,,,,,,,,,East Sheen,9
,,,,,,,,,Plaistow North,14
,,,,,,,,,Brompton & Hans Town,58
,,,,,,,,,Caledonian,93
,,,,,,,,,King's Cross,65
,,,,,,,,,St. Mark's,9
,,,,,,,,,Riverside,84
,,,,,,,,,Fortis Green,18
,,,,,,,,,The Lane,41
,,,,,,,,,Upper Norwood,8
,,,,,,,,,Shepherd's Bush Green,54
,,,,,,,,,Harrow Road,41
,,,,,,,,,Victoria,67
,,,,,,,,,Muswell Hill,18
,,,,,,,,,Cann Hall,40
,,,,,,,,,Turnham Green,19
,,,,,,,,,Cathedrals,108
,,,,,,,,,Cathall,29
,,,,,,,,,Avonmore and Brook Green,45
,,,,,,,,,East Finchley,18
,,,,,,,,,Evelyn,22
,,,,,,,,,Fulham Broadway,32
,,,,,,,,,Queens Park,67
,,,,,,,,,Marylebone High Street,74
,,,,,,,,,Seven Sisters,20
,,,,,,,,,Merton Park,5
,,,,,,,,,Colville,86
,,,,,,,,,Holborn and Covent Garden,155
,,,,,,,,,De Beauvoir,51
,,,,,,,,,Clerkenwell,96
,,,,,,,,,Bayswater,76
,,,,,,,,,Mapesbury,56
,,,,,,,,,Bickley,4
,,,,,,,,,Highbury West,53
,,,,,,,,,Stamford Hill West,21
,,,,,,,,,Penge and Cator,21
,,,,,,,,,Homerton,57
,,,,,,,,,Camden Town with Primrose Hill,116
,,,,,,,,,Hammersmith Broadway,49
,,,,,,,,,Southfields,31
,,,,,,,,,Coulsdon East,2
,,,,,,,,,Noel Park,16
,,,,,,,,,Greenwich West,53
,,,,,,,,,Junction,32
,,,,,,,,,Jubilee,4
,,,,,,,,,Mildmay,62
,,,,,,,,,Bedford,20
,,,,,,,,,Garden Suburb,15
,,,,,,,,,West Hampstead,44
,,,,,,,,,Bensham Manor,5
,,,,,,,,,Canning Town North,29
,,,,,,,,,Grove Green,41
,,,,,,,,,Little Venice,46
,,,,,,,,,Hornsey,32
