Movie,vote_average,revenue,,,,,,,,,,,
Toy Story,7.7,373554033,,,,vote_average,revenue,,,,,,
Jumanji,6.9,262797249,,,vote_average,1,,,,,,,
Waiting to Exhale,6.1,81452156,,,revenue,0.169826016,1,,,,,,
Father of the Bride Part II,5.7,76578911,,,,,,,,,,,
Heat,7.7,187436818,,,,,,,,,,,
Sudden Death,5.5,64350171,,,,,,,,,,,
GoldenEye,6.6,352194034,,,,,,,,,,,
The American President,6.5,107879496,,,,,,,,,,,
Balto,7.1,11348324,,,,,,,,,,,
Nixon,7.1,13681765,,,,,,,,,,,
Cutthroat Island,5.7,10017322,,,,,,,,,,,
Casino,7.8,116112375,,,,,,,,,,,
Sense and Sensibility,7.2,135000000,,,,,,,,,,,
Four Rooms,6.5,4300000,,,,,,,,,,,
Ace Ventura: When Nature Calls,6.1,212385533,,,,,,,,,,,
Money Train,5.4,35431113,,,,,,,,,,,
Get Shorty,6.4,115101622,,,,,,,,,,,
Assassins,6,30303072,,,,,,,,,,,
Leaving Las Vegas,7.1,49800000,,,,,,,,,,,
Now and Then,6.6,27400000,,,,,,,,,,,
Dangerous Minds,6.4,180000000,,,,,,,,,,,
Twelve Monkeys,7.4,168840000,,,,,,,,,,,
Babe,6,254134910,,,,,,,,,,,
Dead Man Walking,7.3,39363635,,,,,,,,,,,
"Cry, the Beloved Country",6.7,676525,,,,,,,,,,,
Mortal Kombat,5.4,122195920,,,,,,,,,,,
To Die For,6.7,21284514,,,,,,,,,,,
How To Make An American Quilt,6.5,23574130,,,,,,,,,,,
Se7en,8.1,327311859,,,,,,,,,,,
Pocahontas,6.7,346079773,,,,,,,,,,,
The Usual Suspects,8.1,23341568,,,,,,,,,,,
Mighty Aphrodite,6.7,6700000,,,,,,,,,,,
Home for the Holidays,6.3,17519169,,,,,,,,,,,
Mr. Holland's Opus,6.9,106269971,,,,,,,,,,,
Lawnmower Man 2: Beyond Cyberspace,2.8,2409225,,,,,,,,,,,
Friday,7,28215918,,,,,,,,,,,
From Dusk Till Dawn,6.9,25836616,,,,,,,,,,,
Fair Game,4.1,11534477,,,,,,,,,,,
Kicking and Screaming,7,718490,,,,,,,,,,,
Les misérables,7.1,14096321,,,,,,,,,,,
Bed of Roses,5.1,19030691,,,,,,,,,,,
Big Bully,3.9,2042530,,,,,,,,,,,
Screamers,6.1,5781885,,,,,,,,,,,
Things to Do in Denver When You're Dead,6.7,529766,,,,,,,,,,,
White Squall,6.3,10300000,,,,,,,,,,,
Black Sheep,6,32,,,,,,,,,,,
Nick of Time,6.1,8175346,,,,,,,,,,,
Mary Reilly,5.7,12379402,,,,,,,,,,,
Vampire in Brooklyn,4.5,19800000,,,,,,,,,,,
Broken Arrow,5.7,150270147,,,,,,,,,,,
Bottle Rocket,6.8,560069,,,,,,,,,,,
Happy Gilmore,6.5,41205099,,,,,,,,,,,
The Bridges of Madison County,7.3,182016617,,,,,,,,,,,
Muppet Treasure Island,6.5,34327391,,,,,,,,,,,
Braveheart,7.7,210000000,,,,,,,,,,,
Taxi Driver,8.1,28262574,,,,,,,,,,,
Anne Frank Remembered,7.3,1,,,,,,,,,,,
Steal Big Steal Little,5.1,6278139,,,,,,,,,,,
Boomerang,5.4,70100000,,,,,,,,,,,
Flirting with Disaster,6.3,14702438,,,,,,,,,,,
Jade,5.1,9851610,,,,,,,,,,,
Man of the Year,3.8,209935,,,,,,,,,,,
The Birdcage,6.7,185260553,,,,,,,,,,,
Bad Boys,6.5,141407024,,,,,,,,,,,
An Awfully Big Adventure,6,851545,,,,,,,,,,,
Apollo 13,7.3,355237933,,,,,,,,,,,
Rob Roy,6.5,31596911,,,,,,,,,,,
Batman Forever,5.2,336529144,,,,,,,,,,,
Blue in the Face,6.8,1275000,,,,,,,,,,,
Canadian Bacon,5.9,178104,,,,,,,,,,,
Casper,6,287928194,,,,,,,,,,,
Clockers,6.8,13071518,,,,,,,,,,,
Congo,5,152022101,,,,,,,,,,,
Crimson Tide,7,157387195,,,,,,,,,,,
Crumb,7.6,3174695,,,,,,,,,,,
Desperado,6.8,25405445,,,,,,,,,,,
Devil in a Blue Dress,6.3,16140822,,,,,,,,,,,
Die Hard: With a Vengeance,6.9,366101666,,,,,,,,,,,
First Knight,5.9,127600435,,,,,,,,,,,
Hackers,6.2,7563728,,,,,,,,,,,
Johnny Mnemonic,5.5,19075720,,,,,,,,,,,
Judge Dredd,5.4,113493481,,,,,,,,,,,
Jury Duty,4,17014653,,,,,,,,,,,
Kids,6.8,7412216,,,,,,,,,,,
Living in Oblivion,7.2,1148752,,,,,,,,,,,
Mad Love,5.5,15453274,,,,,,,,,,,
Mallrats,6.8,2122561,,,,,,,,,,,
Mighty Morphin Power Rangers: The Movie,5.2,66000000,,,,,,,,,,,
Mute Witness,6.4,1,,,,,,,,,,,
The Net,5.6,110627965,,,,,,,,,,,
Nine Months,5.5,69660733,,,,,,,,,,,
Party Girl,5.8,472370,,,,,,,,,,,
The Prophecy,6.4,16,,,,,,,,,,,
The Scarlet Letter,5.5,10382407,,,,,,,,,,,
Showgirls,4.9,20350754,,,,,,,,,,,
Smoke,7.2,8349430,,,,,,,,,,,
Something to Talk About,5.7,50892160,,,,,,,,,,,
Species,5.5,113374103,,,,,,,,,,,
Strange Days,6.8,7959291,,,,,,,,,,,
The Tie That Binds,4.6,5780000,,,,,,,,,,,
Three Wishes,6.1,7025496,,,,,,,,,,,
Total Eclipse,6.5,339889,,,,,,,,,,,
"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,47774193,,,,,,,,,,,
Under Siege 2: Dark Territory,5.6,104324083,,,,,,,,,,,
A Walk in the Clouds,6.5,50012507,,,,,,,,,,,
Waterworld,5.9,264218220,,,,,,,,,,,
Before the Rain,7.7,763847,,,,,,,,,,,
Before Sunrise,7.7,5535405,,,,,,,,,,,
Billy Madison,6.2,26488734,,,,,,,,,,,
Boys on the Side,6.3,23450000,,,,,,,,,,,
Clerks,7.4,3151130,,,,,,,,,,,
Don Juan DeMarco,6.3,22200000,,,,,,,,,,,
Disclosure,5.9,214015089,,,,,,,,,,,
Dumb and Dumber,6.5,247275374,,,,,,,,,,,
Exit to Eden,4.3,6841570,,,,,,,,,,,
Ed Wood,7.3,5887457,,,,,,,,,,,
A Goofy Movie,6.7,35348597,,,,,,,,,,,
Hideaway,5,12201255,,,,,,,,,,,
Gordy,3,3992809,,,,,,,,,,,
Hoop Dreams,7.7,7830611,,,,,,,,,,,
Heavenly Creatures,6.9,3049135,,,,,,,,,,,
Houseguest,6,26325256,,,,,,,,,,,
Heavyweights,6,17689177,,,,,,,,,,,
Interview with the Vampire,7.2,223664608,,,,,,,,,,,
Jefferson in Paris,5.2,2474000,,,,,,,,,,,
Junior,4.7,37000000,,,,,,,,,,,
Star Wars,8.1,775398007,,,,,,,,,,,
Legends of the Fall,7.2,160638883,,,,,,,,,,,
Losing Isaiah,6.4,7603766,,,,,,,,,,,
Frankenstein,7.3,12000000,,,,,,,,,,,
Milk Money,5.6,18137661,,,,,,,,,,,
Miracle on 34th Street,6.4,46264384,,,,,,,,,,,
Miami Rhapsody,5.6,5,,,,,,,,,,,
Murder in the First,6.9,17381942,,,,,,,,,,,
Nell,6.1,106683817,,,,,,,,,,,
Natural Born Killers,6.9,50282766,,,,,,,,,,,
