,Retailer_country,Order_method_type,Retailer_type,Product_line,Product_type,Product,Year,Quarter,Revenue,Quantity,Gross_margin,pred
2,United States,Fax,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Double Flame,2012,Q1 2012,35950.32,252,0.4742745,31225.63493
6,United States,Fax,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2012,Q1 2012,87728.96,352,0.39814629,65876.04226
9,United States,Fax,Outdoors Shop,Camping Equipment,Lanterns,Firefly Extreme,2012,Q1 2012,9393.3,189,0.43420523,8833.544914
10,United States,Fax,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Single,2012,Q1 2012,19396.5,579,0.46149254,21240.15853
18,United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness Extreme,2012,Q1 2012,36396.8,352,0.47843327,37008.26591
21,United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Belay,2012,Q1 2012,19476.8,296,0.47613982,21456.50218
23,United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Climbing Lamp,2012,Q1 2012,17998.56,464,0.42768755,18324.46515
27,United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Ice,2012,Q1 2012,25041.6,333,0.48178191,28738.50368
30,United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Grip,2012,Q1 2012,10146.2,523,0.49020619,4049.131933
31,United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Axe,2012,Q1 2012,32870.4,856,0.49166667,37399.29294
37,United States,Fax,Outdoors Shop,Personal Accessories,Knives,Bear Survival Edge,2012,Q1 2012,8414.75,97,0.48126801,11271.72171
38,United States,Fax,Outdoors Shop,Personal Accessories,Navigation,Glacier GPS Extreme,2012,Q1 2012,38534.28,114,0.4779303,42465.82223
43,United States,Telephone,Golf Shop,Personal Accessories,Watches,Infinity,2012,Q1 2012,11000,50,0.47472727,35050.97212
44,United States,Telephone,Golf Shop,Personal Accessories,Watches,TX,2012,Q1 2012,14004,72,0.46098543,22551.21229
45,United States,Telephone,Golf Shop,Personal Accessories,Watches,Legend,2012,Q1 2012,13927,58,0.44401666,32629.81013
50,United States,Telephone,Golf Shop,Personal Accessories,Eyewear,Fairway,2012,Q1 2012,8241.35,409,0.40496278,-406.1018045
51,United States,Telephone,Golf Shop,Personal Accessories,Eyewear,Inferno,2012,Q1 2012,12935,199,0.39374952,16393.19939
53,United States,Telephone,Golf Shop,Personal Accessories,Eyewear,Trendi,2012,Q1 2012,9104.3,181,0.39542744,7467.605765
59,United States,Telephone,Golf Shop,Golf Equipment,Irons,Hailstorm Steel Irons,2012,Q1 2012,28434.48,72,0.44039771,47845.97052
60,United States,Telephone,Golf Shop,Golf Equipment,Irons,Hailstorm Titanium Irons,2012,Q1 2012,65461.5,75,0.43751289,63320.89638
61,United States,Telephone,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2012,Q1 2012,16025.28,32,0.44535634,42840.33089
62,United States,Telephone,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2012,Q1 2012,54319.2,65,0.44955007,53263.40626
65,United States,Telephone,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2012,Q1 2012,34509.78,27,0.48311609,19949.02835
66,United States,Telephone,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2012,Q1 2012,53082.54,62,0.44845066,45423.19858
69,United States,Telephone,Golf Shop,Golf Equipment,Putters,Blue Steel Max Putter,2012,Q1 2012,40070.44,236,0.45933212,42267.33417
81,United States,Telephone,Department Store,Camping Equipment,Cooking Gear,TrailChef Utensils,2012,Q1 2012,11394.39,609,0.46552646,51869.62754
96,United States,Telephone,Department Store,Camping Equipment,Packs,Canyon Mule Carryall,2012,Q1 2012,26806.92,388,0.40396584,39090.01307
102,United States,Telephone,Department Store,Camping Equipment,Lanterns,EverGlow Single,2012,Q1 2012,20200.5,603,0.46149254,22627.98997
107,United States,Telephone,Department Store,Personal Accessories,Watches,Mountain Man Digital,2012,Q1 2012,16598.54,476,0.42645558,17625.89443
110,United States,Telephone,Department Store,Personal Accessories,Watches,Venue,2012,Q1 2012,57894,801,0.41955609,51642.47869
111,United States,Telephone,Department Store,Personal Accessories,Watches,Infinity,2012,Q1 2012,11000,50,0.47406545,33316.65898
112,United States,Telephone,Department Store,Personal Accessories,Watches,Lux,2012,Q1 2012,20148.8,122,0.47891388,25241.13262
114,United States,Telephone,Department Store,Personal Accessories,Watches,Legend,2012,Q1 2012,82923,325,0.4488347,46335.12172
115,United States,Telephone,Department Store,Personal Accessories,Watches,Kodiak,2012,Q1 2012,24446.1,202,0.44695391,26397.44076
118,United States,Telephone,Department Store,Personal Accessories,Eyewear,Polar Sports,2012,Q1 2012,10265.26,89,0.48950928,18393.24469
120,United States,Telephone,Department Store,Personal Accessories,Eyewear,Bella,2012,Q1 2012,8977.5,133,0.45348148,10617.57104
125,United States,Telephone,Department Store,Personal Accessories,Eyewear,Inferno,2012,Q1 2012,37830,582,0.39393762,36806.36292
127,United States,Telephone,Department Store,Personal Accessories,Eyewear,Trendi,2012,Q1 2012,21478.1,427,0.39539112,19958.56485
130,United States,Telephone,Department Store,Personal Accessories,Knives,Bear Survival Edge,2012,Q1 2012,13148.23,150,0.48662291,14336.51614
136,United States,Telephone,Department Store,Personal Accessories,Binoculars,Ranger Vision,2012,Q1 2012,14720,92,0.43611413,21973.42535
170,United States,Telephone,Warehouse Store,Camping Equipment,Lanterns,Firefly Extreme,2012,Q1 2012,32205.6,648,0.43420523,35375.82114
174,United States,Telephone,Warehouse Store,Personal Accessories,Knives,Bear Edge,2012,Q1 2012,37335.7,957,0.39687189,71993.18337
184,United States,Telephone,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Double Flame,2012,Q1 2012,34238.4,240,0.4742745,30531.71921
187,United States,Telephone,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2012,Q1 2012,77759.76,312,0.39814629,63562.98986
