"","x"
"1",859.583305956252
"2",820.890986581879
"3",887.093974813786
"4",892.999785859109
"5",918.421143557963
"6",897.80888917494
"7",877.165998661611
"8",857.391545973364
"9",839.947217237679
"10",854.394975051284
"11",851.615262955153
"12",876.610841551073
"13",878.560918045222
"14",884.133389425389
"15",887.043470347688
"16",885.105376799304
"17",886.394953145849
"18",885.53636688638
"19",886.107772819572
"20",885.727388362271
"21",885.980564500466
"22",885.812035475957
"23",885.924209443091
"24",885.849541797288
"25",885.899241927225
"26",885.866159849091
"27",885.888180048979
"28",885.873522739858
"29",885.883279019305
"30",885.87678496051
"31",885.881107578627
"32",885.878230323259
"33",885.880145502204
"34",885.878870706178
"35",885.879719245127
"36",885.879154434269
"37",885.879530387807
"38",885.879280142816
"39",885.879446712729
"40",885.87933583923
"41",885.879409639666
"42",885.879360516073
"43",885.879393214081
"44",885.879371449391
"45",885.879385936565
"46",885.879376293505
"47",885.87938271219
"48",885.879378439737
"49",885.879381283599
"50",885.879379390646
"51",885.879380650647
"52",885.879379811956
"53",885.879380370211
"54",885.879379998621
"55",885.879380245962
"56",885.879380081325
"57",885.879380190911
"58",885.879380117967
"59",885.87938016652
"60",885.879380134201
"61",885.879380155714
"62",885.879380141395
"63",885.879380150926
"64",885.879380144582
"65",885.879380148805
"66",885.879380145994
"67",885.879380147864
"68",885.879380146619
"69",885.879380147448
"70",885.879380146896
"71",885.879380147263
"72",885.879380147018
"73",885.879380147181
"74",885.879380147073
"75",885.879380147145
"76",885.879380147097
"77",885.879380147129
"78",885.879380147108
"79",885.879380147123
"80",885.879380147114
"81",885.87938014712
"82",885.879380147115
"83",885.879380147118
"84",885.879380147116
"85",885.879380147117
"86",885.879380147116
"87",885.879380147117
"88",885.879380147117
"89",885.879380147117
"90",885.879380147117
"91",885.879380147117
"92",885.879380147117
"93",885.879380147117
"94",885.879380147117
"95",885.879380147117
"96",885.879380147117
"97",885.879380147117
"98",885.879380147117
"99",885.879380147117
"100",885.879380147117
"101",885.879380147117
"102",885.879380147117
"103",885.879380147117
"104",885.879380147117
"105",885.879380147117
"106",885.879380147117
"107",885.879380147117
"108",885.879380147117
"109",885.879380147117
"110",885.879380147117
"111",885.879380147117
"112",885.879380147117
"113",885.879380147117
"114",885.879380147117
"115",885.879380147117
"116",885.879380147117
"117",885.879380147117
"118",885.879380147117
"119",885.879380147117
"120",885.879380147117
