"","Retailer_country","Order_method_type","Retailer_type","Product_line","Product_type","Product","Year","Quarter","Revenue","Quantity","Gross_margin","pred"
"8","United States","Fax","Outdoors Shop","Camping Equipment","Lanterns","Firefly Lite",2012,"Q1 2012",8268.41,577,0.52896022,8612.05262500536
"37","United States","Fax","Outdoors Shop","Personal Accessories","Knives","Bear Survival Edge",2012,"Q1 2012",8414.75,97,0.48126801,8593.37251482597
"50","United States","Telephone","Golf Shop","Personal Accessories","Eyewear","Fairway",2012,"Q1 2012",8241.35,409,0.40496278,8605.51458644248
"120","United States","Telephone","Department Store","Personal Accessories","Eyewear","Bella",2012,"Q1 2012",8977.5,133,0.45348148,8594.77352308941
"190","United States","Telephone","Outdoors Shop","Camping Equipment","Lanterns","Firefly Lite",2012,"Q1 2012",8741.3,610,0.52896022,8613.33688258005
"270","United States","Telephone","Sports Store","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q1 2012",8946,180,0.43420523,8596.60261721113
"362","United States","Mail","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Climbing Lamp",2012,"Q1 2012",8999.28,232,0.42768755,8598.62629581388
"370","United States","Mail","Outdoors Shop","Personal Accessories","Eyewear","Polar Sports",2012,"Q1 2012",8650.5,75,0.48950928,8592.51634310942
"390","United States","Web","Golf Shop","Personal Accessories","Watches","Lux",2012,"Q1 2012",8360,50,0.47703349,8591.54342070425
"435","United States","Web","Department Store","Camping Equipment","Lanterns","Firefly Lite",2012,"Q1 2012",8898.93,621,0.52896022,8613.76496843832
"521","United States","Web","Equipment Rental Store","Camping Equipment","Lanterns","EverGlow Single",2012,"Q1 2012",8902.55,263,0.46706056,8599.83271959629
"625","United States","Web","Outdoors Shop","Outdoor Protection","Sunscreen","Sun Shelter Stick",2012,"Q1 2012",8666,1781,0.59718901,8658.90856803818
"674","United States","Web","Sports Store","Camping Equipment","Cooking Gear","TrailChef Utensils",2012,"Q1 2012",8429.4,446,0.47089947,8524.17664949709
"904","Canada","E-mail","Department Store","Camping Equipment","Cooking Gear","TrailChef Canteen",2012,"Q1 2012",8252.57,941,0.49600912,8543.44051311945
"1048","Canada","E-mail","Eyewear Store","Personal Accessories","Watches","Lux",2012,"Q1 2012",8620.8,48,0.47171492,8591.46558691183
"1108","Canada","Web","Golf Shop","Personal Accessories","Watches","Sam",2012,"Q1 2012",8351.4,186,0.39153675,8596.83611858837
"1122","Canada","Web","Golf Shop","Personal Accessories","Knives","Max Gizmo",2012,"Q1 2012",8824.2,231,0.53717277,8598.58737891767
"1168","Canada","Web","Department Store","Personal Accessories","Eyewear","Bella",2012,"Q1 2012",8775,130,0.45348148,8594.65677240079
"1520","Mexico","Web","Department Store","Personal Accessories","Watches","Venue",2012,"Q1 2012",8468,116,0.41972603,8594.11193585389
"1543","Mexico","Web","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q1 2012",8894.9,262,0.58645066,8599.79380270009
"1616","Mexico","Web","Sports Store","Personal Accessories","Eyewear","Trendi",2012,"Q1 2012",8551,170,0.39627646,8596.21344824906
"1621","Mexico","Web","Sports Store","Personal Accessories","Binoculars","Opera Vision",2012,"Q1 2012",8690,79,0.54183544,8592.67201069424
"1642","Mexico","Sales visit","Warehouse Store","Camping Equipment","Lanterns","Firefly Mapreader",2012,"Q1 2012",8389.8,531,0.52531646,8610.26244777971
"1652","Mexico","Sales visit","Warehouse Store","Outdoor Protection","Sunscreen","Sun Shield",2012,"Q1 2012",8755.2,1520,0.52083333,8648.75125812822
"1680","Mexico","Sales visit","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Rechargeable Battery",2012,"Q1 2012",8869.68,1143,0.59407216,8634.07958825826
"1685","Mexico","Sales visit","Outdoors Shop","Mountaineering Equipment","Tools","Granite Grip",2012,"Q1 2012",8800.4,449,0.49540816,8607.07126229075
"1741","Mexico","Sales visit","Sports Store","Personal Accessories","Watches","Mountain Man Deluxe",2012,"Q1 2012",8279.28,108,0.49126011,8593.80060068424
