"","Retailer_country","Order_method_type","Retailer_type","Product_line","Product_type","Product","Year","Quarter","Revenue","Quantity","Gross_margin","pred"
"37","United States","Fax","Outdoors Shop","Personal Accessories","Knives","Bear Survival Edge",2012,"Q1 2012",8414.75,97,0.48126801,8527.99005080462
"72","United States","Telephone","Golf Shop","Golf Equipment","Golf Accessories","Course Pro Golf Bag",2012,"Q1 2012",8611.89,42,0.61130484,8560.87113585176
"120","United States","Telephone","Department Store","Personal Accessories","Eyewear","Bella",2012,"Q1 2012",8977.5,133,0.45348148,8802.65395264422
"270","United States","Telephone","Sports Store","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q1 2012",8946,180,0.43420523,8959.54665406612
"362","United States","Mail","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Climbing Lamp",2012,"Q1 2012",8999.28,232,0.42768755,8872.42798176356
"370","United States","Mail","Outdoors Shop","Personal Accessories","Eyewear","Polar Sports",2012,"Q1 2012",8650.5,75,0.48950928,8541.54212728288
"390","United States","Web","Golf Shop","Personal Accessories","Watches","Lux",2012,"Q1 2012",8360,50,0.47703349,8474.18181687347
"521","United States","Web","Equipment Rental Store","Camping Equipment","Lanterns","EverGlow Single",2012,"Q1 2012",8902.55,263,0.46706056,8883.51096253122
"1048","Canada","E-mail","Eyewear Store","Personal Accessories","Watches","Lux",2012,"Q1 2012",8620.8,48,0.47171492,8395.33467634924
"1108","Canada","Web","Golf Shop","Personal Accessories","Watches","Sam",2012,"Q1 2012",8351.4,186,0.39153675,8521.57729619753
"1122","Canada","Web","Golf Shop","Personal Accessories","Knives","Max Gizmo",2012,"Q1 2012",8824.2,231,0.53717277,8874.30203872432
"1168","Canada","Web","Department Store","Personal Accessories","Eyewear","Bella",2012,"Q1 2012",8775,130,0.45348148,8716.19424219405
"1520","Mexico","Web","Department Store","Personal Accessories","Watches","Venue",2012,"Q1 2012",8468,116,0.41972603,8509.88361874059
"1543","Mexico","Web","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q1 2012",8894.9,262,0.58645066,8879.79032080459
"1616","Mexico","Web","Sports Store","Personal Accessories","Eyewear","Trendi",2012,"Q1 2012",8551,170,0.39627646,8555.94771969695
"1621","Mexico","Web","Sports Store","Personal Accessories","Binoculars","Opera Vision",2012,"Q1 2012",8690,79,0.54183544,8609.21457650579
"1741","Mexico","Sales visit","Sports Store","Personal Accessories","Watches","Mountain Man Deluxe",2012,"Q1 2012",8279.28,108,0.49126011,8383.17952962904
"1805","Mexico","Special","Outdoors Shop","Mountaineering Equipment","Safety","Granite Signal Mirror",2012,"Q1 2012",8537.76,264,0.51422387,8399.01760090648
"1845","Brazil","Web","Golf Shop","Personal Accessories","Eyewear","Trendi",2012,"Q1 2012",8852.8,176,0.39639662,8729.3462681072
"1889","Brazil","Web","Department Store","Personal Accessories","Eyewear","Polar Sports",2012,"Q1 2012",8459.18,73,0.49188456,8493.37354195129
"1896","Brazil","Web","Department Store","Personal Accessories","Eyewear","Maximus",2012,"Q1 2012",8480,106,0.492375,8605.56812071331
"1901","Brazil","Web","Department Store","Personal Accessories","Knives","Bear Survival Edge",2012,"Q1 2012",8414.88,94,0.49731903,8505.53238133106
"2142","Brazil","Web","Sports Store","Golf Equipment","Putters","Blue Steel Putter",2012,"Q1 2012",8927.01,107,0.50617284,8700.50969905889
"2166","Japan","Telephone","Golf Shop","Personal Accessories","Watches","Venue",2012,"Q1 2012",8687,119,0.41863014,8591.97356348828
"2168","Japan","Telephone","Golf Shop","Personal Accessories","Watches","Sam",2012,"Q1 2012",8486.1,189,0.39153675,8608.03700664772
"2179","Japan","Telephone","Golf Shop","Personal Accessories","Eyewear","Trendi",2012,"Q1 2012",8249.2,164,0.39662028,8384.39925103069
"2187","Japan","Telephone","Golf Shop","Outdoor Protection","First Aid","Compact Relief Kit",2012,"Q1 2012",8948.38,397,0.60070985,9079.90246038744
"2230","Japan","Telephone","Sports Store","Personal Accessories","Eyewear","Polar Sports",2012,"Q1 2012",8304.48,72,0.48950928,8455.0824168327
"2287","Japan","Mail","Sports Store","Personal Accessories","Knives","Bear Edge",2012,"Q1 2012",8410.2,214,0.40127226,8452.42549505556
"2395","Japan","Web","Golf Shop","Personal Accessories","Knives","Max Gizmo",2012,"Q1 2012",8977,235,0.53979058,9000.01994149493
"2473","Japan","Web","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q1 2012",8793.05,259,0.58645066,8793.33061035442
"2588","Japan","Web","Outdoors Shop","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q1 2012",8827,260,0.58645066,8822.15051383781
"2766","Singapore","Fax","Outdoors Shop","Personal Accessories","Eyewear","Polar Sun",2012,"Q1 2012",8270.32,138,0.56365655,8414.83614515195
"2798","Singapore","Telephone","Department Store","Personal Accessories","Watches","Mountain Man Deluxe",2012,"Q1 2012",8662.58,113,0.49126011,8563.80180378782
"2953","Singapore","Web","Warehouse Store","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q1 2012",8697.5,175,0.43420523,8815.44713664915
"2984","Singapore","Web","Outdoors Shop","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q1 2012",8250.2,166,0.43420523,8556.06800529862
"2993","Singapore","Web","Outdoors Shop","Mountaineering Equipment","Safety","Granite Signal Mirror",2012,"Q1 2012",8537.76,264,0.51422387,8606.61370551026
"2994","Singapore","Web","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Climbing Lamp",2012,"Q1 2012",8688.96,224,0.42768755,8641.86875389641
"3015","Singapore","Web","Outdoors Shop","Personal Accessories","Eyewear","Polar Ice",2012,"Q1 2012",8553.6,81,0.52945076,8520.73156858488
"3037","Singapore","Web","Outdoors Shop","Personal Accessories","Binoculars","Opera Vision",2012,"Q1 2012",8250,75,0.54354545,8500.75347816128
"3059","Singapore","Special","Outdoors Shop","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q1 2012",8299.9,167,0.43420523,8377.29180417823
"3099","Korea","Web","Golf Shop","Personal Accessories","Eyewear","Bella",2012,"Q1 2012",8302.5,123,0.4557037,8523.31582605782
"3181","Korea","Web","Department Store","Personal Accessories","Eyewear","Polar Wave",2012,"Q1 2012",8749.53,94,0.55822998,8553.67172012932
"3394","Korea","Sales visit","Equipment Rental Store","Personal Accessories","Eyewear","Polar Sun",2012,"Q1 2012",8643.14,144,0.564325,8553.89819532902
"3397","Korea","Sales visit","Equipment Rental Store","Personal Accessories","Knives","Bear Survival Edge",2012,"Q1 2012",8675,100,0.48126801,8577.92700451298
"3628","China","Web","Eyewear Store","Personal Accessories","Knives","Max Gizmo",2012,"Q1 2012",8327.6,218,0.53852971,8505.05397322771
"3778","Australia","Telephone","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q1 2012",8643.6,252,0.59067055,8608.41772894418
"3805","Australia","Telephone","Outdoors Shop","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q1 2012",8838.72,176,0.44006372,8867.62725755432
"3819","Australia","Telephone","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Climbing Lamp",2012,"Q1 2012",8417.43,217,0.42768755,8440.12942951266
"3830","Australia","Telephone","Outdoors Shop","Personal Accessories","Watches","Mountain Man Deluxe",2012,"Q1 2012",8925.06,114,0.50185209,8634.8563028286
"3833","Australia","Telephone","Outdoors Shop","Personal Accessories","Eyewear","Polar Sun",2012,"Q1 2012",8626.6,140,0.57561496,8520.15906801015
"3898","Australia","Web","Department Store","Personal Accessories","Watches","Lux",2012,"Q1 2012",8527.2,51,0.47882775,8510.1561754658
"3902","Australia","Web","Department Store","Personal Accessories","Watches","Kodiak",2012,"Q1 2012",8781.9,73,0.44422278,8647.11344321094
"3952","Australia","Web","Eyewear Store","Personal Accessories","Eyewear","Trendi",2012,"Q1 2012",8903.1,177,0.39542744,8754.30165095117
"3954","Australia","Web","Eyewear Store","Personal Accessories","Eyewear","Hawk Eye",2012,"Q1 2012",8302.5,205,0.43407407,8536.59402401337
"4010","Australia","Sales visit","Equipment Rental Store","Camping Equipment","Sleeping Bags","Hibernator Pad",2012,"Q1 2012",8911.18,226,0.51382196,8825.13889612861
"4038","Australia","Sales visit","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Granite Belay",2012,"Q1 2012",8619.8,131,0.47613982,8588.69706616762
"4041","Australia","Sales visit","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Charger",2012,"Q1 2012",8429.6,164,0.56498054,8387.31895239726
"4265","Netherlands","Web","Golf Shop","Personal Accessories","Watches","Kodiak",2012,"Q1 2012",8421,70,0.44272652,8554.68752663606
"4400","Netherlands","Web","Outdoors Shop","Personal Accessories","Knives","Max Gizmo",2012,"Q1 2012",8556.8,224,0.53717277,8672.56271434056
"4411","Netherlands","Web","Eyewear Store","Personal Accessories","Watches","Sam",2012,"Q1 2012",8306.5,185,0.39153675,8492.75739271414
"4475","Sweden","E-mail","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Granite Pulley",2012,"Q1 2012",8662.1,235,0.50217037,8647.11039963563
"4552","Sweden","Web","Department Store","Personal Accessories","Watches","Kodiak",2012,"Q1 2012",8300.7,69,0.44292168,8526.64580661496
"4594","Sweden","Web","Warehouse Store","Camping Equipment","Lanterns","EverGlow Single",2012,"Q1 2012",8834.85,261,0.46706056,8825.87115556443
"4658","Sweden","Web","Sports Store","Personal Accessories","Watches","Sam",2012,"Q1 2012",8531,190,0.39153675,8636.85691013111
"4680","Sweden","Web","Sports Store","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q1 2012",8413.79,49,0.45186652,8576.45806081163
"4723","Denmark","Web","Department Store","Camping Equipment","Sleeping Bags","Hibernator Pad",2012,"Q1 2012",8233.22,211,0.50871348,8408.99348259596
"4746","Denmark","Web","Department Store","Personal Accessories","Eyewear","Polar Sun",2012,"Q1 2012",8845.42,147,0.56541917,8681.24356987364
"4798","Denmark","Web","Outdoors Shop","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q1 2012",8336.52,166,0.44006372,8579.42822272039
"4825","Denmark","Web","Outdoors Shop","Personal Accessories","Watches","Infinity",2012,"Q1 2012",8800,40,0.47402727,8727.01150959665
"4874","Denmark","Web","Eyewear Store","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q1 2012",8928.92,52,0.45186652,8662.91777126181
"4881","Denmark","Web","Sports Store","Personal Accessories","Watches","Sam",2012,"Q1 2012",8800.4,196,0.39153675,8809.77633103147
"4901","Denmark","Sales visit","Direct Marketing","Camping Equipment","Sleeping Bags","Hibernator Pad",2012,"Q1 2012",8477.45,215,0.51382196,8508.11995781128
"4977","Finland","Web","Warehouse Store","Personal Accessories","Knives","Bear Edge",2012,"Q1 2012",8685.3,221,0.40127226,8654.16481943932
"5031","Finland","Web","Outdoors Shop","Personal Accessories","Eyewear","Polar Sun",2012,"Q1 2012",8734.11,147,0.55988074,8659.15956376025
"5046","Finland","Web","Outdoors Shop","Personal Accessories","Binoculars","Seeker Mini",2012,"Q1 2012",8606.01,107,0.50267313,8577.55160025394
"5226","France","Fax","Sports Store","Personal Accessories","Knives","Bear Edge",2012,"Q1 2012",8410.2,214,0.40127226,8452.42549505556
"5244","France","Telephone","Golf Shop","Personal Accessories","Eyewear","Bella",2012,"Q1 2012",8370,124,0.45348148,8543.27482129369
"5337","France","Telephone","Outdoors Shop","Personal Accessories","Watches","Mountain Man Extreme",2012,"Q1 2012",8896.15,31,0.59511811,8618.51615163879
"5385","France","Telephone","Eyewear Store","Personal Accessories","Knives","Max Gizmo",2012,"Q1 2012",8595,225,0.53918557,8709.4084821041
"5423","France","Telephone","Sports Store","Personal Accessories","Watches","Mountain Man Extreme",2012,"Q1 2012",8389.8,30,0.58453122,8547.48194852863
"5428","France","Telephone","Sports Store","Personal Accessories","Knives","Bear Edge",2012,"Q1 2012",8724.6,222,0.40127226,8682.98472292271
"5430","France","Telephone","Sports Store","Personal Accessories","Binoculars","Seeker Mini",2012,"Q1 2012",8927.73,111,0.50267313,8692.83121418752
"5649","France","Web","Eyewear Store","Personal Accessories","Eyewear","Trendi",2012,"Q1 2012",8701.9,173,0.39662028,8643.77838238123
"5690","France","Web","Sports Store","Personal Accessories","Eyewear","Polar Ice",2012,"Q1 2012",8408.4,80,0.52723467,8483.07519969381
"5805","France","Sales visit","Eyewear Store","Personal Accessories","Eyewear","Polar Sports",2012,"Q1 2012",8419.82,73,0.48950928,8447.37956357429
"6037","Germany","Web","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Climbing Lamp",2012,"Q1 2012",8301.06,214,0.42768755,8353.66971906248
"6112","Germany","Web","Eyewear Store","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q1 2012",8585.5,50,0.45186652,8605.27796429502
"6151","Germany","Web","Sports Store","Camping Equipment","Lanterns","Flicker Lantern",2012,"Q1 2012",8922.24,261,0.54307214,8837.02497260566
"6339","Switzerland","Fax","Sports Store","Personal Accessories","Watches","Kodiak",2012,"Q1 2012",8781.9,73,0.44352589,8644.33465517527
"6379","Switzerland","Web","Golf Shop","Personal Accessories","Eyewear","Hawk Eye",2012,"Q1 2012",8262,204,0.39975309,8370.92220904284
"6473","Switzerland","Web","Warehouse Store","Personal Accessories","Navigation","Glacier Deluxe",2012,"Q1 2012",8325.95,89,0.39893105,8338.61783935422
"6557","Switzerland","Web","Eyewear Store","Personal Accessories","Watches","Kodiak",2012,"Q1 2012",8541.3,71,0.44272652,8583.50743011945
"6560","Switzerland","Web","Eyewear Store","Personal Accessories","Eyewear","Polar Sports",2012,"Q1 2012",8881.18,77,0.48950928,8599.18193424967
"6881","United Kingdom","E-mail","Outdoors Shop","Personal Accessories","Knives","Bear Edge",2012,"Q1 2012",8488.8,216,0.40127226,8510.06530202235
"7081","United Kingdom","Web","Outdoors Shop","Mountaineering Equipment","Safety","Granite Signal Mirror",2012,"Q1 2012",8811,267,0.52393939,8731.81320378385
"7436","Belgium","Web","Eyewear Store","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q1 2012",8585.5,50,0.45186652,8605.27796429502
"7505","Belgium","Web","Sports Store","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q1 2012",8585.5,50,0.45186652,8605.27796429502
"7642","Austria","Telephone","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q1 2012",8266.3,241,0.59067055,8291.39879062686
"7671","Austria","Telephone","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Climbing Lamp",2012,"Q1 2012",8922.91,229,0.43025313,8796.19829758516
"7684","Austria","Telephone","Outdoors Shop","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q1 2012",8413.79,49,0.45186652,8576.45806081163
"7879","Austria","Web","Sports Store","Personal Accessories","Watches","Mountain Man Extreme",2012,"Q1 2012",8366.21,29,0.59724774,8569.36805837774
"7911","Austria","Web","Sports Store","Personal Accessories","Binoculars","Seeker Mini",2012,"Q1 2012",8749.34,106,0.51539202,8599.44716027114
"7943","Italy","Fax","Outdoors Shop","Personal Accessories","Watches","TX",2012,"Q1 2012",8640,48,0.45177778,8684.8771742466
"7944","Italy","Fax","Outdoors Shop","Personal Accessories","Watches","Legend",2012,"Q1 2012",8646.4,32,0.44478164,8617.20252449126
"8082","Italy","Web","Department Store","Personal Accessories","Watches","Lux",2012,"Q1 2012",8861.6,53,0.47882775,8567.79598243259
"8103","Italy","Web","Department Store","Personal Accessories","Binoculars","Opera Vision",2012,"Q1 2012",8360,76,0.544,8531.38586008691
"8260","Italy","Sales visit","Warehouse Store","Personal Accessories","Knives","Bear Edge",2012,"Q1 2012",8685.3,221,0.40127226,8617.64206269751
"8494","Spain","Web","Outdoors Shop","Personal Accessories","Eyewear","Polar Sports",2012,"Q1 2012",8765.84,76,0.48950928,8570.36203076628
"8681","United States","Telephone","Golf Shop","Golf Equipment","Golf Accessories","Course Pro Golf Bag",2012,"Q2 2012",8657.88,42,0.61336955,8569.10398672509
"8709","United States","Telephone","Department Store","Camping Equipment","Lanterns","EverGlow Double",2012,"Q2 2012",8442.51,165,0.43811141,8508.20855727454
