IndustryVertical,Count
Technology,313
Consumer Internet,772
eCommerce,230
Logistics,24
Others,6
Healthcare,31
Food & Beverage,19
Finance,9
Education,20
Food & Beverages,2
Real Estate,4
FMCG,3
Reality,1
Auto,2
BFSI,1
Online Education Information platform,1
Brand Licensing Startup,1
Gourmet Food Discovery & Delivery platform,1
Transportation & Logistics Platform,1
Enterprise Marketing Automation platform,1
"Health, Wellness & Beauty Services App",1
Digital Healthcare,1
Last Minute Hotel Booking App,1
Womens Fashion Wear Portal,1
Product Learning platform,1
Online Food ordering & Delivery platform,2
App based Bus Pooling Services,1
Social Learning Platform,1
Social Fitness platform,1
On Demand Mobile app developer,1
Car Maintenance & Management mobile app,1
Online Wedding Marketplace,1
Splitting Bills Mobile App,1
IOT Energy Management Analytics platform,1
Custom Made furniture e-tailer,1
QSR Chain,1
eLearning platform,1
Smart Safety Wearable Devices,1
Cab Sharing service Mobile app,1
Cloud Enterprise Mobility Platform,1
Online Shopping Assistant Mobile app,1
Home Cooked Food Order & Delivery platform,1
Online School for Analytics learning,1
Chat based personal Assistant App,1
Picture creation & Social mobile app,1
Nonbanking finance company,1
eCommerce returns etailer,1
Online Freight Services Aggregator,1
Online Branded Furniture etailer,1
Digital Analytics Platform,1
Internet Network Infrastructure Services,1
Supply Chain & Logistics Solutions,1
Holiday Resort Chain,1
Mobile Point of Sale solutions,1
Peer-to-Peer Money Transfer & Recharge App,1
Test Automation SAAS platform,1
Citizens Engagement Platform,1
Indoor Navigation & Analytics Solutions,1
Hyperlocal On-Demand Household Services platform,1
Online RTI application services,1
ECommerce Website Creation SAAS platform,1
Wedding Venues & Vendors Marketplace,1
Interface development platform for Government officials,2
Modular Furnishings Marketplace,1
Private Jet Bookings Marketplace,1
Cab search Comparison & Booking platform,1
Performance Optimization Platform for athletes,1
Event Venue Booking Platform,1
Digital Media Platform,1
visual search and discovery platform,1
Home services marketplace,2
End to End reverse logistics Solution platform,1
Virtual Health consultation app,1
Online Renting platform,1
Logistics Services Provider,1
Data Science & UX design Learning platform,1
Online marketplace for Chef Meals,1
Electric Bike Manufacturers,1
ECommerce platform solutions,1
Online Media Publication,1
International Hiring Platform,1
Logistics Service Provider Marketplace,1
Hyperlocal  Grocery Delivery Service,1
Sports Education Platform,1
"Bike, Appliances Renting marketplace",1
Online Marketplace for Industrial Goods,1
Reward points mobile app,1
Mobile accessories online store,1
Content Discovery & reward points platform,1
Artificial Intelligence platform,1
Medical Consultation & Doctor appointment booking platform,1
Mobile Fitness App,2
"Digital Coupons, Deal & Cashback aggregator app",1
Mobile Game development & Design platform,1
B2B eCommerce Marketplace,1
Furniture and appliances rental platform,1
B2B Merchandize platform,1
Real Estate focused Tech platform,1
Photographer Online search & booking platform,1
Grocery Delivery platform,1
Mobile Car Servicing appointment app,1
New Curation Mobile App,1
Mobile Wallet,1
